Counter(/clock),Mean_Consecutive(/clock),Counter(/host_diagnostic),Mean_Consecutive(/host_diagnostic),Counter(/joint_states),Mean_Consecutive(/joint_states),Counter(/kinect2/qhd/camera_info),Mean_Consecutive(/kinect2/qhd/camera_info),Counter(/kinect2/qhd/image_color/compressed),Mean_Consecutive(/kinect2/qhd/image_color/compressed),Counter(/kinect2/qhd/image_color/theora),Mean_Consecutive(/kinect2/qhd/image_color/theora),Counter(/mobile_base_controller/cmd_vel),Mean_Consecutive(/mobile_base_controller/cmd_vel),Counter(/mobile_base_controller/odom),Mean_Consecutive(/mobile_base_controller/odom),Counter(/move_base/NavfnROS/plan),Mean_Consecutive(/move_base/NavfnROS/plan),Counter(/move_base/TebLocalPlannerROS/global_plan),Mean_Consecutive(/move_base/TebLocalPlannerROS/global_plan),Counter(/move_base/TebLocalPlannerROS/local_plan),Mean_Consecutive(/move_base/TebLocalPlannerROS/local_plan),Counter(/move_base/TebLocalPlannerROS/teb_markers),Mean_Consecutive(/move_base/TebLocalPlannerROS/teb_markers),Counter(/move_base/TebLocalPlannerROS/teb_poses),Mean_Consecutive(/move_base/TebLocalPlannerROS/teb_poses),Counter(/move_base/feedback),Mean_Consecutive(/move_base/feedback),Counter(/move_base/global_costmap/footprint),Mean_Consecutive(/move_base/global_costmap/footprint),Counter(/move_base/local_costmap/costmap),Mean_Consecutive(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Mean_Consecutive(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Mean_Consecutive(/move_base/local_costmap/footprint),Counter(/move_base/status),Mean_Consecutive(/move_base/status),Counter(/nav_vel),Mean_Consecutive(/nav_vel),Counter(/node_diagnostic),Mean_Consecutive(/node_diagnostic),Counter(/odometry/filtered),Mean_Consecutive(/odometry/filtered),Counter(/pan_tilt_trajectory_controller/follow_joint_trajectory/status),Mean_Consecutive(/pan_tilt_trajectory_controller/follow_joint_trajectory/status),Counter(/pan_tilt_trajectory_controller/point_head_action/status),Mean_Consecutive(/pan_tilt_trajectory_controller/point_head_action/status),Counter(/pan_tilt_trajectory_controller/state),Mean_Consecutive(/pan_tilt_trajectory_controller/state),Counter(/particlecloud),Mean_Consecutive(/particlecloud),Counter(/scan),Mean_Consecutive(/scan),Counter(/tf),Mean_Consecutive(/tf),linear velocity x,angular velocity z,Threads(/amcl),MeanLoadCPU(/amcl),Threads(/twist_mux),MeanLoadCPU(/twist_mux),Threads(/robot_state_publisher),MeanLoadCPU(/robot_state_publisher),Threads(/move_base),MeanLoadCPU(/move_base),Threads(/map_odom_broadcaster),MeanLoadCPU(/map_odom_broadcaster),matansar(MaxCPU0),matansar(MinCPU0),matansar(MeanCPU0),matansar(StdCPU0),matansar(MaxCPU1),matansar(MinCPU1),matansar(MeanCPU1),matansar(StdCPU1),matansar(MaxCPU2),matansar(MinCPU2),matansar(MeanCPU2),matansar(StdCPU2),matansar(MaxCPU3),matansar(MinCPU3),matansar(MeanCPU3),matansar(StdCPU3)
94,0.003005935,2,0.528619051,25,0.022740165,4,0.003046672,3,0.089927554,5,0.043150485,2,0.299319029,43,0.022261285,2,0.034869909,1,0,2,0.309691906,4,0.103923003,2,0.303672075,1,0,2,0.337316036,1,0,0,0,3,0.18710351,6,0.172762823,2,0.303861856,10,5.78E-06,10,0.040001339,6,0.19735117,3,0.145897985,18,0.023793585,1,0,8,0.124614443,96,0.009546528,-0.1001,-0.15,8,5.619999886,6,5.880000114,6,5.8,11,15.86000004,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
1054,0.000875347,2,0.568824053,46,0.02036029,12,0.07994654,9,0.110119879,10,0.102241225,4,0.221155008,46,0.020373509,0,0,5,0.189393699,4,0.221160014,8,0.095097576,4,0.221234719,4,0.221577962,5,0.218226254,1,0,2,0.836841106,5,0.209753513,5,0.219801724,4,0.221247991,20,0.029982002,27,0.034662311,4,0.226681312,4,0.224944353,46,0.02038651,1,0,10,0.101150778,131,0.006939224,-0.1001,-0.15,8,25.06999998,6,3.300000048,6,4.719999981,12,17.50000019,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
869,0.001150998,2,0.554937124,43,0.022552859,12,0.07821846,9,0.113933027,8,0.116951432,5,0.230005741,43,0.022587095,0,0,5,0.228298247,5,0.228623509,10,0.101071437,5,0.228612721,5,0.232384741,4,0.240752379,1,0,1,0,4,0.229939302,4,0.242678006,5,0.230070472,20,0.029427378,26,0.037985802,5,0.228636503,4,0.227376382,43,0.022559069,2,0.564866066,8,0.120088134,110,0.009027304,-0.093049715,-0.15,8,73.69999894,6,2.93636361,6,5.572727333,11.5,18.53636369,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
877,0.00113992,1,0,44,0.022822957,12,0.071921457,8,0.110673836,9,0.114663869,4,0.228298982,44,0.022827165,0,0,4,0.226571004,4,0.228434006,8,0.097432852,4,0.227943341,4,0.230190674,4,0.236028592,1,0,1,0,5,0.230944514,4,0.23625199,4,0.227870305,10,0.000949118,26,0.038311682,4,0.227474054,5,0.23012954,44,0.022846166,3,0.305745959,9,0.115594,112,0.008827179,-0.075779768,-0.15,8,75.25999985,6,3.439999962,6,3.340000057,11,15.14000015,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
925,0.001080899,2,0.53354311,46,0.021648222,14,0.065451475,9,0.109522849,9,0.108752131,5,0.214963257,46,0.021733443,0,0,5,0.214419723,5,0.214898705,10,0.09560744,5,0.215007007,5,0.215867043,5,0.215843499,0,0,2,0.440644026,4,0.216644684,5,0.215034008,5,0.215002537,20,0.028211318,28,0.036147294,5,0.215286732,4,0.217529694,46,0.021674824,2,0.494261026,9,0.108217746,117,0.008417543,-0.059475617,-0.15,8,19.71111128,6,4.333333439,6,5.866666688,11,18.14444457,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
914,0.001091706,2,0.549005032,46,0.021620978,14,0.066689235,10,0.108669784,9,0.109815508,4,0.223233382,45,0.021499135,0,0,4,0.198414008,4,0.223804712,8,0.095693997,4,0.222905,4,0.223151684,4,0.224696,1,0,2,0.436085939,5,0.217133522,5,0.21801126,4,0.223251661,20,0.029852779,28,0.036020853,4,0.201307694,5,0.217114031,46,0.021615018,2,0.369985104,9,0.108875751,120,0.008245386,-0.008887753,-0.15,8,14.42999973,6,3.040000057,6,4.430000019,12,15.99000006,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
952,0.001038065,2,0.533165932,48,0.021026911,12,0.057689255,9,0.104495853,10,0.10581443,5,0.211678505,48,0.020556678,0,0,5,0.211708486,5,0.210960269,10,0.094239659,5,0.212358475,5,0.212871253,5,0.21189326,0,0,2,0.427557945,5,0.21203649,4,0.214713335,5,0.211694777,20,0.028062469,28,0.035150298,5,0.211759746,5,0.213483214,48,0.02104849,3,0.423063993,10,0.106029881,125,0.007807918,0.227992793,-0.15,8,8.445454597,6,4.281818217,6,5.281818217,11.5,16.70909101,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
918,0.001076492,2,0.521547079,45,0.021085338,14,0.07463369,10,0.106677347,9,0.109265119,5,0.211350024,45,0.021487204,0,0,5,0.211209774,5,0.211550772,10,0.094544331,5,0.211559772,5,0.213913023,5,0.216725051,2,0.422561169,1,0,4,0.211073637,5,0.211527228,5,0.211405456,20,0.028136944,28,0.035817402,5,0.211222708,4,0.209602992,46,0.021574179,2,0.370218039,9,0.108867615,123,0.008071303,0.194179375,-0.15,8,7.730000019,6,4.120000076,6,5.9,11.5,17.02999983,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
951,0.001049031,2,0.521636009,47,0.020914518,12,0.07796138,9,0.106715381,10,0.106904666,4,0.213696003,47,0.020869478,0,0,4,0.181233327,4,0.184916973,8,0.092741558,4,0.213490963,4,0.212194999,5,0.210404456,1,0,1,0,5,0.212352216,5,0.210876286,4,0.184103966,20,0.027485107,28,0.035537923,4,0.190699021,5,0.211916268,47,0.021305457,2,0.459527016,10,0.106500228,117,0.008275879,0.129288535,-0.15,8,8.719999981,6,4.030000019,6,4.510000038,12,16.69000015,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
944,0.001059152,2,0.524872065,48,0.020738424,12,0.076825445,9,0.105639875,9,0.105408996,5,0.213291466,48,0.020431087,0,0,5,0.214097261,5,0.213664532,10,0.095817433,5,0.213776052,5,0.211311758,4,0.214088678,2,0.844798088,1,0,5,0.211236775,4,0.21334068,5,0.213697731,20,0.027692519,28,0.036190819,5,0.210882783,5,0.210371733,48,0.020938467,3,0.421185017,9,0.105758876,121,0.008238908,0.098757726,-0.15,8,7.030000019,6,3.05,6,5.769999981,11.5,14.42000008,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
963,0.001038271,2,0.513866901,49,0.020257314,14,0.063834777,10,0.10383402,10,0.103995111,5,0.205657721,48,0.020426806,0,0,5,0.205241263,5,0.205587506,10,0.091323985,5,0.205360532,5,0.205287993,5,0.206898272,1,0,1,0,5,0.207135499,5,0.206867278,5,0.205435753,20,0.027110313,29,0.033718603,5,0.20639652,5,0.206859231,48,0.020442892,2,0.447340965,10,0.102637317,124,0.007989294,0.3,-0.15,8,8.977777905,6,4.288888931,6,5.388888889,11.5,17.17777761,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
950,0.001050965,1,0,46,0.020608489,14,0.062314162,10,0.105209218,9,0.105940878,5,0.192294478,49,0.020360644,0,0,5,0.192420959,5,0.192162991,10,0.085353666,5,0.192059278,5,0.189098537,5,0.213101983,2,0.425360918,1,0,4,0.212223053,5,0.211454272,5,0.191963971,10,6.68E-06,29,0.034601535,5,0.198854029,4,0.210910956,47,0.021034173,2,0.470106125,9,0.106066644,115,0.008375657,0.3,0.045594825,8,5.339999962,6,2.160000038,6,6.280000114,12,17.08000031,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
954,0.001047237,2,0.53955102,49,0.020497183,10,0.068638775,9,0.107857615,10,0.10703222,5,0.210872233,46,0.020886935,0,0,4,0.213601669,5,0.210806489,10,0.094156451,5,0.210852981,5,0.210069776,5,0.210423768,2,0.428467035,0,0,5,0.211208522,5,0.210263491,5,0.210903764,20,0.028308467,29,0.035013463,4,0.210597674,5,0.212635279,48,0.020932532,3,0.421774507,10,0.10491387,127,0.007861633,0.3,-0.121840251,8,6.619999981,6,3.570000076,6,5.820000076,11,14.19000025,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
944,0.001057102,2,0.521850109,46,0.021413067,16,0.0634854,10,0.104954004,9,0.105199009,4,0.213816007,49,0.020498643,0,0,5,0.232573986,4,0.215069691,8,0.09168802,4,0.213955323,4,0.214275996,4,0.217966,3,0.424643517,0,0,5,0.212537706,4,0.214930693,4,0.213633299,20,0.027809632,28,0.035898818,5,0.226216495,5,0.21741128,47,0.021181433,2,0.475996971,9,0.107288122,114,0.008673497,0.3,-0.15,8,8.172727411,6,3.372727307,6,4.545454632,12,16.62727278,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
949,0.001052451,2,0.540405989,47,0.020892371,12,0.068393902,9,0.105197489,10,0.10505724,5,0.210427999,46,0.020753892,0,0,5,0.209984481,5,0.210272789,10,0.093446096,5,0.209994972,5,0.213675737,5,0.211540461,3,0.416794538,0,0,5,0.2085585,5,0.212574303,5,0.210339725,20,0.02881163,28,0.034527478,5,0.211207986,5,0.211850226,48,0.021123577,2,0.461118937,10,0.105797211,118,0.008480889,0.285247406,-0.15,8,6.409999943,6,4.630000114,6,5.689999962,11,15.4699996,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
938,0.001065748,2,0.518394947,49,0.020576979,18,0.056366177,9,0.106950492,9,0.106346369,5,0.215917051,48,0.020612067,0,0,5,0.214129508,5,0.21514672,10,0.095874998,5,0.215608239,5,0.213978767,5,0.211034,2,0.432065964,1,0,4,0.210633278,5,0.211702526,5,0.216148973,20,0.027661261,29,0.035563035,5,0.212240994,4,0.208456675,47,0.02124322,3,0.416886449,9,0.10780111,120,0.008158085,0.065251325,-0.15,8,7.422222243,6,3.26666673,6,5.188888974,11,13.73333338,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
979,0.001021163,2,0.491719007,47,0.020344107,12,0.064143094,10,0.102876001,10,0.102621979,5,0.20345521,49,0.020063226,0,0,5,0.202731729,5,0.203207731,10,0.090611988,5,0.20287323,5,0.202351749,5,0.202949226,0,0,3,0.305181026,5,0.203532994,5,0.203318536,5,0.203302503,20,0.031484792,29,0.033865971,4,0.221879959,5,0.208572745,49,0.020446186,2,0.446106195,10,0.102304882,120,0.008239261,0.076223499,-0.15,8,7.650000095,6,3.110000038,6,4.990000057,11.5,16.58000011,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
945,0.001058512,2,0.540375948,48,0.020536468,14,0.064232771,10,0.105836312,9,0.107042134,4,0.211035013,48,0.020850085,0,0,4,0.211340268,4,0.21027867,8,0.089815855,4,0.20973738,4,0.212748686,4,0.210291624,1,0,1,0,5,0.209177732,4,0.209249338,4,0.211067359,20,0.028744321,29,0.03473625,5,0.213617206,5,0.21062851,47,0.02083613,2,0.420722008,9,0.105570614,121,0.008227809,0.058113194,-0.15,8,6.78181813,6,3.481818286,6,5.154545351,11.5,15.027273,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
934,0.001071077,2,0.525203943,47,0.02088922,12,0.067457459,9,0.105354756,10,0.107590437,5,0.213986039,46,0.020890156,0,0,5,0.215617776,5,0.214233518,10,0.095309655,5,0.214444995,5,0.213840961,5,0.212778747,0,0,2,0.435883999,4,0.210990667,5,0.213208735,5,0.214419246,20,0.027670007,27,0.035627961,5,0.212893486,5,0.21026051,47,0.021204612,2,0.546181917,10,0.10651411,121,0.008142142,0.264154562,-0.060418616,8,6.840000057,6,4.8,6,6.220000076,11,14.68000002,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
917,0.001090252,2,0.559382915,46,0.021309,14,0.066174012,9,0.106488883,9,0.106770486,5,0.216283262,46,0.021585422,0,0,5,0.216509759,5,0.216999769,10,0.097062111,5,0.216286242,5,0.215741277,5,0.216791987,2,0.645526886,1,0,5,0.216206014,5,0.218169272,5,0.216376245,20,0.029689412,28,0.036147886,4,0.238343,4,0.226980289,45,0.021840545,3,0.489089012,9,0.108480752,121,0.008241192,0.253130715,-0.15,8,6.730000019,6,3.640000057,6,5.539999962,11,16.24000015,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
955,0.001043898,1,0,48,0.020776383,16,0.056292868,10,0.104489221,9,0.104157001,4,0.211607695,48,0.020509872,0,0,4,0.210872332,4,0.21165363,8,0.091583865,4,0.211585681,4,0.209522963,4,0.210067352,2,0.411045074,1,0,5,0.210207045,5,0.21125102,4,0.211620013,10,0.000100215,29,0.034713106,5,0.207817793,5,0.209101975,48,0.020850806,2,0.424828053,9,0.103413373,119,0.008287686,0.213986217,-0.15,8,8.060000038,6,4.120000076,6,4.060000038,11,16.24000015,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
951,0.001052026,2,0.531875849,48,0.020587957,14,0.056403619,9,0.10675174,10,0.106632339,5,0.210514963,46,0.02087618,0,0,5,0.209531248,5,0.209624767,10,0.093856335,5,0.209950447,5,0.210820496,5,0.210027993,2,0.838829041,1,0,5,0.209899724,4,0.210018635,5,0.210863709,20,0.027893681,28,0.034943475,5,0.213420451,5,0.210885525,48,0.021025744,2,0.421926975,10,0.105708573,117,0.008587852,0.290022479,-0.15,8,6.700000048,6,2.85,6,5.450000048,11.5,13.7000001,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
913,0.001095355,2,0.538967848,45,0.02145234,12,0.075181723,9,0.109435737,9,0.108661503,5,0.215215266,47,0.02119141,0,0,5,0.215404749,5,0.215112507,10,0.096258561,5,0.2156775,5,0.2152493,5,0.219596267,2,0.431734085,0,0,4,0.216270288,5,0.21978575,5,0.215268493,20,0.028872791,28,0.036588625,5,0.216193497,4,0.226202965,45,0.022005639,2,0.429310083,9,0.108928382,113,0.008822873,0.269715453,-0.15,8,7.650000095,6,4.050000095,6,4.640000057,11.5,19.78000031,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
941,0.001062767,2,0.527251959,46,0.021063201,16,0.064122995,10,0.106648127,9,0.108459264,4,0.212272326,47,0.021208281,0,0,4,0.21202604,4,0.211294651,8,0.091039147,4,0.212742964,4,0.210432688,5,0.212852478,2,0.206954002,1,0,5,0.213452756,5,0.213290215,4,0.212496599,20,0.027868007,28,0.035850887,4,0.211197694,5,0.213547528,48,0.021243658,3,0.427486897,9,0.107256621,114,0.00863823,0.25838172,-0.15,8,7.344444381,6,3.111111111,6,5.166666667,11.5,20.54444419,0,0,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18,0,9.22E+18
