Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/franka_control/error_recovery/status),Counter(/franka_gripper/grasp/goal),Counter(/franka_gripper/grasp/result),Counter(/franka_gripper/grasp/status),Counter(/franka_gripper/gripper_action/status),Counter(/franka_gripper/homing/status),Counter(/franka_gripper/joint_states),Counter(/franka_gripper/move/goal),Counter(/franka_gripper/move/result),Counter(/franka_gripper/move/status),Counter(/franka_gripper/stop/status),Counter(/franka_state_controller/F_ext),Counter(/franka_state_controller/franka_states),Counter(/franka_state_controller/joint_states),Counter(/franka_state_controller/joint_states_desired),Counter(/joint_states),Counter(/joint_states_desired),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/feedback),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/goal),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/result),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/status),Counter(/position_joint_trajectory_controller/state),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
4,5,5,41,35,1,0,103,91,100,93,0,1,80,102,100,115,110,115,107,116,7,4,0,66,1,1,1,1,1,1,2,1,1,25,1,1,91,55,100,2,2,102,125,53,40,109,172,1
1,1,0,0,3,0,1,4,2,0,10,0,0,0,3,27,15,19,15,26,15,1,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,3,15,7,7,10,22,0
0,0,0,6,2,0,0,3,3,0,5,0,0,5,2,19,15,15,6,14,11,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,3,1,10,1,0,0,29,0,0,9,15,0
0,0,0,2,3,0,0,2,2,10,7,0,0,3,2,16,6,15,12,4,16,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,4,9,0,0,6,22,0,0,11,42,0
0,0,0,3,0,0,0,2,3,2,5,0,0,2,2,16,23,6,24,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,2,11,0,0,2,28,0,0,6,19,0
1,0,0,3,4,0,0,3,2,3,5,0,0,3,4,6,10,23,11,0,20,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,0,1,4,0,7,8,9,36,0
1,1,1,3,3,0,0,3,3,3,9,0,0,2,2,17,19,11,16,46,15,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,3,0,1,0,2,46,3,2,9,38,0
0,0,0,3,3,0,0,2,0,1,3,0,0,3,2,21,12,13,19,17,15,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,1,23,0,0,0,0,0,0,6,12,0
0,0,0,3,2,0,0,3,5,2,7,0,0,2,3,15,18,15,4,22,15,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,5,59,0,0,12,54,0
0,0,0,2,3,0,0,2,1,4,10,0,0,3,3,6,14,16,21,16,7,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,11,0,1,2,25,1,1,8,30,0
2,1,1,5,1,0,0,3,4,3,8,0,0,2,2,20,15,18,17,15,23,1,2,1,2,0,0,0,0,0,0,1,0,0,4,0,0,2,0,7,1,0,7,22,9,9,16,28,0
0,0,0,2,2,0,0,2,2,2,7,0,0,3,2,16,15,15,17,16,12,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,11,8,0,0,2,29,0,0,5,31,0
0,0,0,3,3,0,0,3,3,2,5,0,0,2,3,12,8,15,11,15,15,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,2,9,0,0,3,21,0,0,8,30,0
0,0,0,2,4,0,0,2,1,3,8,0,0,3,3,13,15,14,17,15,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,0,0,2,29,0,0,6,23,0
