Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/recovery_status),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
1,1,1,25,0,2,1,45,15,45,1,1,0,0,0,1,1,0,0,0,0,1,11,11,1,1,1,1,1,1,1,1,0,1,8,10,1,1,1,1,1,1,1,1,0,0,8,25,1,23,41,0,6,25,22,26,1,1
0,0,0,27,0,27,1,81,27,81,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,5,5,27,36,55,0,1
0,0,0,24,0,24,1,69,24,68,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,5,5,24,35,52,0,1
0,0,0,26,2,26,1,81,26,82,0,0,2,2,2,0,0,2,4,1,3,0,7,10,0,0,0,0,0,0,0,0,1,0,6,9,0,0,0,0,0,0,0,0,0,0,6,26,0,1,1,5,5,26,42,56,0,1
0,0,0,25,10,26,1,75,25,75,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,25,55,55,0,1
0,0,1,27,10,26,1,81,21,72,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,27,43,52,0,1
0,0,1,22,10,22,1,64,28,72,0,0,10,10,10,0,0,10,8,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,22,1,5,5,4,4,22,39,55,0,0
0,0,1,31,10,31,1,93,30,94,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,5,31,1,5,5,7,7,32,60,65,0,2
0,0,1,17,10,16,1,69,15,67,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,0,5,23,1,5,5,3,3,15,52,30,0,1
0,0,1,32,10,33,1,75,35,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,6,6,33,51,66,0,1
0,0,1,28,10,21,1,87,20,76,0,0,9,9,9,0,0,9,12,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,28,1,6,6,5,5,28,59,48,0,1
0,0,1,24,10,30,1,71,31,82,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,24,1,8,8,5,5,24,49,47,0,1
0,0,0,24,10,25,1,73,25,74,0,0,10,7,7,0,0,10,12,0,10,0,6,10,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,5,24,0,9,9,5,5,24,54,54,0,0
0,0,0,26,10,26,1,77,26,76,0,0,10,9,9,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,5,26,0,6,6,5,5,26,54,55,0,1
0,0,0,27,10,27,1,81,26,81,0,0,10,9,9,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,5,26,0,6,6,5,5,27,53,57,0,2
0,0,1,27,9,28,1,84,28,84,0,0,10,9,9,0,0,10,8,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,5,28,1,5,5,5,5,28,58,60,0,1
0,0,2,26,10,25,1,78,26,77,0,0,9,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,25,2,5,5,5,5,25,57,52,0,1
0,0,2,24,11,25,1,72,24,73,0,0,11,11,11,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,5,24,2,5,5,5,5,25,44,53,0,1
0,0,1,27,10,26,1,81,27,81,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,28,1,5,5,5,5,26,57,59,0,1
0,0,1,26,9,26,1,78,26,75,0,0,9,9,9,0,0,9,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,54,57,0,1
0,0,1,19,11,18,1,75,18,58,0,0,11,11,11,0,0,11,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,19,53,42,0,1
0,0,1,33,10,34,1,78,33,98,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,6,6,33,48,64,0,1
0,0,1,25,10,25,1,78,26,77,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,1,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,25,50,50,0,1
0,0,0,26,10,26,1,75,25,76,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,5,25,0,5,5,5,5,26,44,51,0,1
0,0,1,25,10,25,1,75,25,75,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,25,57,51,0,0
0,0,1,26,9,26,1,77,27,71,0,0,9,9,9,0,0,9,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,26,57,50,0,2
0,0,1,26,10,26,1,79,25,85,0,0,11,10,10,0,0,11,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,49,52,0,0
0,0,0,20,11,20,1,68,21,72,0,0,10,11,11,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,11,0,0,0,0,0,0,0,0,0,0,5,23,0,5,5,5,5,23,54,49,0,1
0,0,1,28,10,28,1,79,27,75,0,0,9,9,9,0,0,9,12,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,26,1,9,9,5,5,25,55,58,0,1
0,0,1,27,10,27,1,78,27,78,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,27,55,58,0,1
0,0,1,26,9,27,1,81,27,81,0,0,9,9,9,0,0,9,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,26,56,50,0,1
0,0,1,23,11,22,1,67,23,67,0,0,11,11,11,0,0,11,8,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,5,23,1,5,5,4,4,23,49,44,0,1
