Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/recovery_status),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
1,1,1,23,0,19,1,119,36,75,1,1,0,0,0,1,1,0,0,0,0,1,11,14,1,1,1,1,1,1,1,1,0,1,12,15,1,1,1,1,1,1,1,1,0,0,9,26,1,44,7,0,4,35,12,67,1,2
0,0,0,31,0,25,1,80,26,77,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,5,31,19,50,0,1
0,0,0,19,0,30,1,73,23,80,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,1,5,20,17,62,0,1
0,0,0,33,2,26,1,80,28,67,0,0,2,2,2,0,0,2,4,1,3,0,6,10,0,0,0,0,0,0,0,0,1,0,6,10,0,0,0,0,0,0,0,0,0,0,6,24,0,1,1,5,5,28,22,58,0,1
0,0,0,25,10,25,1,74,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,0,0,0,0,0,5,28,0,5,5,5,5,24,27,53,0,1
0,0,1,26,10,24,1,79,26,86,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,31,30,54,0,1
0,0,1,25,10,28,1,75,25,72,0,0,10,10,10,0,0,10,10,0,10,0,5,10,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,24,23,62,0,1
0,0,1,21,10,22,1,81,26,77,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,27,27,55,0,1
0,0,0,22,9,20,1,74,25,72,0,0,8,8,8,0,0,8,8,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,25,0,10,10,5,5,26,29,56,0,1
0,0,1,26,9,22,1,78,26,87,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,5,25,1,8,8,5,5,25,32,58,0,1
0,0,1,32,9,32,1,73,7,75,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,5,26,1,10,10,4,5,26,30,57,0,1
0,0,0,27,9,32,1,81,42,78,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,0,5,25,0,9,9,5,4,22,27,52,0,1
0,0,1,23,8,25,1,73,22,75,0,0,6,6,6,0,0,6,8,0,10,0,7,8,0,0,0,0,0,0,0,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,5,26,1,14,14,5,5,24,32,57,0,1
0,0,0,15,8,15,1,58,18,55,0,0,7,7,7,0,0,7,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,5,20,0,7,7,3,3,19,23,41,0,1
0,0,1,39,10,36,1,100,39,100,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,5,32,1,5,5,7,7,35,32,72,0,1
0,0,1,20,9,25,1,74,17,75,0,0,8,8,8,0,0,8,8,0,10,0,5,8,0,0,0,0,0,0,0,0,0,4,2,9,0,0,0,0,0,0,0,0,0,0,5,25,1,10,10,4,4,27,29,54,0,1
0,0,0,25,10,27,1,78,32,72,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,5,26,0,6,6,6,6,17,29,58,0,1
0,0,1,32,10,21,1,75,27,81,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,4,4,28,31,56,0,1
0,0,1,23,9,26,1,79,23,79,0,0,9,9,9,0,0,9,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,33,31,53,0,1
0,0,1,28,11,25,1,74,27,78,0,0,11,11,11,0,0,11,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,19,32,60,0,1
