Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/cancel),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera/rgb_image/theora/parameter_updates),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_descriptions),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,13,1,1,6,1,1,1,1,17,0,0,0,0,3,13,3,3,1,1,1,1,4,1,1,2,1,1,489,1,1,0,4,28,2,2,2,3,1,1,1,1,1,1,1,1,4,1,1,4,5,46,20,2,34,1
0,0,0,0,3,0,0,0,0,12,0,8,1,0,4,12,2,2,0,0,0,0,2,0,0,2,0,0,507,2,1,1,5,25,1,1,0,2,0,0,0,0,0,1,0,0,3,0,0,2,2,11,11,19,25,0
0,0,0,0,2,0,0,0,0,13,0,15,0,0,2,13,2,2,0,0,0,0,3,0,0,1,0,0,492,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,4,4,7,25,0
0,4,1,0,4,0,0,0,0,12,1,10,0,1,5,12,2,2,0,0,0,0,2,0,0,1,0,0,497,2,1,1,5,25,1,2,1,2,0,0,0,0,0,1,0,0,4,0,0,2,2,16,16,19,25,0
1,3,0,1,4,0,0,0,0,12,0,11,1,0,3,12,2,2,0,0,0,0,1,0,0,1,0,0,497,2,1,1,4,24,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,11,11,12,24,0
1,9,2,1,6,0,0,0,0,12,1,2,0,1,4,12,2,2,0,0,0,0,2,0,0,2,0,0,478,4,2,2,6,25,2,4,2,2,0,0,0,0,0,2,0,0,6,0,0,2,2,27,27,10,24,0
0,5,0,1,4,0,0,0,0,13,0,0,0,0,3,13,2,2,0,0,0,0,2,0,0,2,0,0,501,1,0,1,4,25,0,1,1,2,0,0,0,0,0,0,0,0,4,0,0,3,3,11,11,17,26,0
0,0,0,0,3,0,0,0,0,12,0,9,1,0,4,12,2,2,0,0,0,0,3,0,0,2,0,0,498,1,1,0,3,24,1,1,0,2,0,0,0,0,0,1,0,0,3,0,0,2,2,9,9,5,24,0
0,0,1,0,3,0,0,0,0,13,1,14,0,1,4,12,2,1,0,0,0,0,1,0,0,2,0,0,453,2,1,1,5,25,1,2,1,2,0,0,0,0,0,1,0,0,5,0,0,2,2,16,16,20,26,0
1,14,0,1,5,0,0,0,0,12,0,0,1,0,3,12,2,1,0,0,0,0,2,0,0,2,0,0,487,2,1,1,5,25,1,2,1,2,0,0,0,0,0,1,0,0,4,0,0,2,2,17,17,9,25,0
0,0,0,0,2,0,0,0,0,13,0,14,0,0,3,13,2,2,0,0,0,0,2,0,0,2,0,0,480,0,0,0,2,25,0,1,1,2,0,0,0,0,0,0,0,0,4,0,0,3,3,8,8,15,25,0
