Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/cancel),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_updates),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,14,0,0,5,1,1,1,16,0,0,0,0,3,13,2,1,1,1,1,4,1,1,1,488,0,0,0,3,25,1,0,1,2,1,1,1,1,0,1,1,4,1,1,2,3,28,2,4,30,1
0,5,0,1,3,0,0,0,11,0,0,0,0,2,11,1,1,0,0,0,1,0,1,0,491,1,0,1,3,23,0,1,1,1,0,0,0,0,0,0,0,3,0,0,3,3,9,9,17,24,0
0,3,1,0,4,0,0,0,12,1,0,1,1,6,12,2,3,0,0,0,3,0,2,0,492,3,2,1,6,26,7,3,1,2,0,0,0,0,2,0,0,5,0,0,2,2,36,36,24,26,0
1,1,0,1,4,0,0,0,13,0,13,1,0,3,13,2,2,0,0,0,1,0,2,0,474,2,1,1,4,23,1,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,10,10,3,23,0
0,0,0,0,3,0,0,0,12,0,15,0,0,3,12,1,1,0,0,0,2,0,1,0,488,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,1,1,8,25,0
0,0,0,0,2,0,0,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,2,0,490,0,0,0,2,26,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,4,4,7,26,0
0,0,0,0,3,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,2,0,499,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,5,5,22,24,0
1,13,2,1,6,0,0,0,13,1,1,0,1,4,13,1,2,0,0,0,1,0,1,0,483,4,2,2,6,26,2,4,2,2,0,0,0,0,2,0,0,6,0,0,3,3,27,27,18,26,0
1,13,1,1,6,0,0,0,13,0,0,0,0,3,13,2,2,0,0,0,3,0,1,0,487,2,1,1,5,25,1,3,2,2,0,0,0,0,1,0,0,6,0,0,2,2,21,21,9,25,0
1,10,0,1,4,0,0,0,12,0,4,1,0,3,12,2,2,0,0,0,2,0,2,0,473,2,1,1,4,25,1,1,0,2,0,0,0,0,1,0,0,3,0,0,3,3,12,12,11,24,0
0,0,0,0,3,0,0,0,13,0,14,0,0,3,13,1,2,0,0,0,2,0,2,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,3,3,15,24,0
0,0,0,0,2,0,0,0,12,0,16,0,0,2,12,2,2,0,0,0,2,0,2,0,498,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,4,4,8,26,0
0,0,0,0,3,0,0,0,12,0,14,0,0,3,12,2,2,0,0,0,2,0,2,0,493,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,3,3,5,24,0
0,2,1,0,3,0,0,0,13,1,13,0,1,4,13,2,2,0,0,0,2,0,2,0,503,2,1,1,4,25,1,3,2,1,0,0,0,0,1,0,0,5,0,0,3,3,23,23,10,25,0
1,13,0,1,5,0,0,0,12,0,0,1,0,4,12,1,1,0,0,0,1,0,0,0,477,2,1,1,5,24,1,1,0,2,0,0,0,0,1,0,0,4,0,0,2,2,11,12,21,24,0
0,0,0,0,2,0,0,0,13,0,15,0,0,2,13,1,2,0,0,0,2,0,0,0,498,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,3,3,7,25,0
0,9,1,0,4,0,0,0,13,1,5,0,1,5,12,3,2,0,0,0,2,0,1,0,495,2,1,1,5,25,1,3,2,1,0,0,0,0,1,0,0,6,0,0,2,2,21,21,17,26,0
0,5,0,1,3,0,0,0,12,0,8,1,1,4,13,2,3,0,0,0,3,0,2,0,494,3,1,2,5,24,1,1,0,3,0,0,0,0,1,0,0,3,0,0,3,3,15,15,3,24,0
0,0,0,0,3,0,0,0,13,0,0,0,0,3,13,2,2,0,0,0,1,0,2,0,445,0,0,0,3,26,0,1,1,1,0,0,0,0,0,0,0,3,0,0,1,2,7,7,12,26,0
0,0,0,0,2,0,0,0,12,0,8,1,1,4,12,2,1,0,0,0,2,0,2,0,468,2,1,1,4,25,1,1,0,3,0,0,0,0,1,0,0,3,0,0,3,3,13,13,12,22,0
0,4,2,1,6,0,0,0,12,0,0,0,0,3,12,2,2,0,0,0,2,0,2,0,496,3,2,1,6,24,2,4,2,2,0,0,0,0,2,0,0,7,0,0,2,2,22,22,6,26,0
0,15,0,1,3,0,0,0,13,0,0,0,0,2,13,2,2,0,0,0,2,0,2,0,496,1,0,1,3,26,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,6,6,7,26,0
0,0,0,0,3,0,0,0,12,0,12,1,0,4,12,2,2,0,0,0,2,0,2,0,485,1,1,0,3,24,1,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,6,6,11,24,0
0,9,1,0,3,0,0,0,13,1,4,0,1,4,13,1,2,0,0,0,3,0,2,0,499,2,1,1,4,27,1,4,2,0,0,0,0,0,1,0,0,5,0,0,3,3,22,22,20,27,0
