Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/cancel),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_updates),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_descriptions),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,14,1,0,5,1,1,1,18,0,0,0,0,2,13,3,3,1,1,5,1,2,1,1,495,1,1,0,3,27,2,1,0,2,1,1,1,1,1,1,1,3,1,1,4,5,34,10,4,33,1
0,7,0,1,4,0,0,0,12,0,0,0,0,3,12,1,1,0,0,2,0,1,0,0,502,0,0,0,3,25,0,1,1,1,0,0,0,0,0,0,0,3,0,0,2,2,8,8,12,25,0
0,0,0,0,2,0,0,0,13,0,8,1,0,3,13,1,2,0,0,2,0,2,0,0,453,2,1,1,4,25,1,1,0,3,0,0,0,0,1,0,0,4,0,0,3,3,11,11,26,23,0
0,6,1,0,4,0,0,0,12,1,7,0,1,5,12,1,2,0,0,2,0,2,0,0,484,2,1,1,5,25,11,3,2,2,0,0,0,0,1,0,0,5,0,0,2,2,53,50,7,25,0
1,5,1,2,6,0,0,0,13,0,0,0,0,2,13,2,2,0,0,2,0,1,0,0,476,3,1,2,5,24,1,2,1,1,0,0,0,0,1,0,0,5,0,0,3,3,19,21,11,25,0
0,0,0,0,3,0,0,0,12,0,3,1,0,4,12,2,1,0,0,1,0,2,0,0,483,1,1,0,4,25,1,1,0,2,0,0,0,0,1,0,0,3,0,0,2,2,5,5,12,25,0
0,0,0,0,2,0,0,0,13,0,15,0,0,2,13,1,2,0,0,2,0,1,0,0,487,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,4,4,19,24,0
0,0,0,0,3,0,0,0,12,0,14,0,0,2,11,1,3,0,0,2,0,2,0,0,456,0,0,0,2,24,0,1,1,2,0,0,0,0,0,0,0,3,0,0,2,2,3,3,7,24,0
0,14,1,1,4,0,0,0,13,1,1,0,1,4,13,1,0,0,0,2,0,1,0,0,439,2,1,1,4,25,1,2,1,0,0,0,0,0,1,0,0,5,0,0,3,3,19,20,14,24,0
0,0,0,0,3,0,0,0,11,0,8,1,0,4,11,2,2,0,0,2,0,2,0,0,492,2,1,1,4,23,1,1,0,3,0,0,0,0,1,0,0,3,0,0,2,2,10,10,11,23,0
0,0,0,0,2,0,0,0,14,0,16,0,0,2,14,2,2,0,0,2,0,2,0,0,496,0,0,0,3,27,0,1,1,2,0,0,0,0,0,0,0,4,0,0,3,3,8,8,20,27,0
0,13,1,0,4,0,0,0,11,1,1,0,1,5,11,1,0,0,0,1,0,1,0,0,499,2,1,1,5,25,1,2,1,0,0,0,0,0,1,0,0,4,0,0,2,2,14,14,11,25,0
0,1,0,1,3,0,0,0,13,0,8,1,1,4,13,2,2,0,0,2,0,3,0,0,471,3,1,2,5,24,1,2,1,2,0,0,0,0,1,0,0,5,0,0,3,3,22,22,13,25,0
0,0,0,0,3,0,0,0,12,0,0,0,0,3,12,1,2,0,0,1,0,1,0,0,497,2,1,1,4,24,1,3,1,3,0,0,0,0,1,0,0,6,0,0,2,2,14,10,6,24,0
0,1,1,1,4,0,0,0,13,0,7,1,0,3,13,1,1,0,0,2,0,1,0,0,483,3,2,1,6,26,2,0,0,2,0,0,0,0,1,0,0,2,0,0,3,3,10,14,14,26,0
0,0,0,0,3,0,0,0,12,0,15,0,0,3,12,2,2,0,0,2,0,2,0,0,486,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,2,4,4,11,25,0
0,12,1,0,3,0,0,0,13,1,2,0,1,4,13,2,2,0,0,2,0,2,0,0,500,2,1,1,4,25,1,4,2,1,0,0,0,0,1,0,0,5,0,0,3,3,22,22,13,24,0
