Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera/rgb_image/theora/parameter_updates),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,0,0,5,1,1,1,15,0,0,0,0,3,12,2,3,1,1,1,3,1,1,2,1,521,0,0,0,2,25,1,0,0,2,1,1,1,1,1,0,1,1,3,1,1,2,3,27,7,2,32,1
0,0,0,2,0,0,0,12,0,0,0,0,3,12,2,2,0,0,0,3,0,0,1,0,481,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,11,25,0
0,0,0,3,0,0,0,13,0,0,0,0,2,13,2,2,0,0,0,1,0,0,2,0,495,0,0,0,2,25,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,1,2,8,8,14,25,0
0,0,0,2,0,0,0,12,0,10,1,0,4,12,1,1,0,0,0,2,0,0,1,0,500,1,1,0,4,25,1,1,0,3,0,0,0,0,0,1,0,0,4,0,0,3,3,5,5,6,25,0
0,0,0,3,0,0,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,0,2,0,498,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,6,25,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,0,2,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,6,25,0
0,0,0,3,0,0,0,13,0,15,0,0,2,13,2,2,0,0,0,1,0,0,2,0,496,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,3,3,19,24,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,1,1,0,0,0,2,0,0,1,0,502,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,1,1,4,24,0
0,0,0,3,0,0,0,13,0,14,0,0,2,13,3,2,0,0,0,2,0,0,3,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,3,3,5,26,0
0,0,0,2,0,0,0,12,0,16,0,0,3,12,2,2,0,0,0,2,0,0,2,0,495,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,5,25,0
0,0,0,3,0,0,0,13,1,13,1,1,5,13,1,1,0,0,0,2,0,0,1,0,496,2,1,1,4,25,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,11,11,19,25,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,0,2,0,493,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,4,25,0
0,0,0,2,0,0,0,12,0,14,0,0,2,12,2,1,0,0,0,2,0,0,2,0,490,0,0,0,2,23,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,5,23,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,1,0,0,2,0,495,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,4,25,0
0,0,0,3,0,0,0,13,0,15,0,0,2,13,1,1,0,0,0,2,0,0,1,0,502,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,17,25,0
7,1,0,3,0,0,0,12,1,8,0,1,5,11,2,2,0,0,0,2,0,0,1,0,497,2,1,1,5,24,1,2,1,2,0,0,0,0,0,1,0,0,5,0,0,3,3,14,14,18,24,0
14,0,1,4,0,0,0,13,0,0,0,0,2,13,2,1,0,0,0,2,0,0,2,0,490,1,0,1,3,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,5,5,7,25,0
0,0,0,2,0,0,0,12,0,0,0,0,3,12,3,3,0,0,0,2,0,0,2,0,496,0,0,0,3,24,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,3,3,9,9,2,25,0
0,0,0,3,0,0,0,13,0,1,2,1,5,13,2,2,0,0,0,3,0,0,2,0,498,3,2,1,5,25,2,3,1,3,0,0,0,0,0,2,0,0,5,0,0,2,2,18,18,14,25,0
0,0,0,2,0,0,0,11,0,15,0,0,3,10,3,2,0,0,0,2,0,0,3,0,491,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,2,2,2,5,23,0
0,0,0,3,0,0,0,13,0,16,0,0,2,13,1,3,0,0,0,2,0,0,1,0,487,0,0,0,2,25,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,2,3,7,25,0
0,0,0,2,0,0,0,12,0,14,0,0,3,12,1,2,0,0,0,3,0,0,1,0,484,0,0,0,3,25,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,3,1,1,1,25,0
0,0,0,3,0,0,0,13,0,14,0,0,2,13,2,1,0,0,0,3,0,0,2,0,499,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,14,25,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,3,3,0,0,0,2,0,0,2,0,499,0,0,0,3,25,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,3,3,9,9,12,25,0
0,0,0,3,0,0,0,13,1,15,1,1,5,13,1,1,0,0,0,2,0,0,0,0,491,2,1,1,4,25,1,2,1,2,0,0,0,0,0,1,0,0,4,0,0,2,2,15,15,15,25,0
0,0,0,2,0,0,0,12,1,13,1,2,7,12,3,3,0,0,0,3,0,0,2,0,499,3,1,2,6,25,1,1,0,3,0,0,0,0,0,1,0,0,4,0,0,3,3,17,17,3,25,0
7,1,0,4,0,0,0,13,0,0,0,0,2,13,2,2,0,0,0,2,0,0,2,0,494,1,1,0,3,25,1,2,1,2,0,0,0,0,0,1,0,0,4,0,0,1,2,9,9,9,25,0
2,0,1,3,0,0,0,11,0,6,1,0,3,11,2,2,0,0,0,1,0,0,2,0,495,2,1,1,5,23,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,2,9,9,11,22,0
0,0,0,3,0,0,0,14,0,16,0,0,3,14,2,2,0,0,0,2,0,0,2,0,500,0,0,0,2,27,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,3,2,2,7,28,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,0,2,0,491,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,3,25,0
0,0,0,3,0,0,0,13,0,15,0,0,2,13,1,1,0,0,0,2,0,0,1,0,475,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,8,25,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,0,2,0,501,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,14,25,0
0,0,0,3,0,0,0,13,0,14,0,0,2,13,2,2,0,0,0,2,0,0,2,0,491,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,10,25,0
0,0,0,2,0,0,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,0,2,0,479,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,3,23,0
0,0,0,3,0,0,0,13,0,2,0,1,3,13,1,2,0,0,0,1,0,0,2,0,476,1,0,1,3,25,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,14,14,10,26,0
