Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/franka_control/error_recovery/status),Counter(/franka_gripper/grasp/goal),Counter(/franka_gripper/grasp/result),Counter(/franka_gripper/grasp/status),Counter(/franka_gripper/gripper_action/status),Counter(/franka_gripper/homing/status),Counter(/franka_gripper/joint_states),Counter(/franka_gripper/move/goal),Counter(/franka_gripper/move/result),Counter(/franka_gripper/move/status),Counter(/franka_gripper/stop/status),Counter(/franka_state_controller/F_ext),Counter(/franka_state_controller/franka_states),Counter(/franka_state_controller/joint_states),Counter(/franka_state_controller/joint_states_desired),Counter(/joint_states),Counter(/joint_states_desired),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/feedback),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/goal),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/result),Counter(/position_joint_trajectory_controller/follow_joint_trajectory/status),Counter(/position_joint_trajectory_controller/state),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
4,5,5,41,34,1,0,103,92,103,72,0,1,86,103,114,106,100,111,100,115,6,4,0,64,1,1,1,1,1,1,2,1,0,20,1,1,101,54,100,2,2,103,136,56,40,105,132,1
1,1,0,3,1,0,1,3,3,2,4,0,0,3,3,15,33,39,22,32,15,1,0,1,4,0,0,0,0,0,0,1,0,0,4,0,0,2,5,2,1,0,1,26,7,5,10,9,0
0,0,0,3,4,0,0,3,3,3,4,0,0,2,1,9,5,6,15,11,14,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,5,19,0,2,8,26,0
0,0,0,2,3,0,0,2,2,2,7,0,0,3,4,20,26,20,15,15,9,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,2,3,0,0,2,31,0,0,13,56,0
0,0,0,3,2,0,0,3,3,3,5,0,0,2,0,12,19,18,10,19,22,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,24,0,0,3,25,0,0,8,30,0
1,0,1,3,2,0,0,2,2,2,4,0,0,3,5,18,6,9,16,14,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,3,13,3,3,6,29,0
0,0,0,3,3,0,0,3,3,3,5,0,0,2,2,9,23,20,15,5,16,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,3,36,0,0,3,32,0
1,1,0,3,3,0,0,2,2,2,12,0,0,3,3,17,15,11,18,0,8,1,2,1,3,0,0,0,0,0,0,1,0,0,4,0,0,2,2,4,1,0,2,21,7,7,14,25,0
0,0,0,3,2,0,0,3,3,3,4,0,0,1,2,9,10,12,13,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,2,10,0,0,4,25,0,0,10,15,0
0,0,0,1,2,0,0,2,2,2,0,0,0,2,3,0,19,21,15,54,25,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7,0,0,2,30,0,0,4,24,0
0,0,0,4,3,0,0,3,0,3,18,0,0,3,2,38,14,15,16,20,12,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,13,0,0,0,24,0,0,8,44,0
1,0,1,3,3,0,0,1,5,2,5,0,0,4,3,13,4,15,15,7,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,1,6,15,3,3,7,0,0
1,1,0,4,1,0,0,4,3,1,7,0,0,2,2,13,18,15,13,23,0,1,2,1,0,0,0,0,0,0,0,1,0,0,5,0,0,4,3,5,1,0,4,8,7,5,16,14,0
