Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/recovery_status),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
1,1,1,22,0,11,1,87,7,69,1,1,0,0,0,1,1,0,0,0,0,1,10,10,1,1,1,1,1,1,1,1,0,1,8,10,0,1,1,1,1,1,1,1,0,0,9,26,1,46,3,0,7,6,11,87,1,2
0,0,0,23,0,0,1,78,25,76,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,5,22,17,59,0,1
0,0,0,7,0,54,1,73,22,70,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,1,5,28,13,53,0,1
0,0,0,45,1,30,1,80,28,74,0,0,1,1,1,0,0,1,2,1,2,0,6,10,0,0,0,0,0,0,0,0,1,0,5,10,0,0,0,0,0,0,0,0,0,0,6,27,0,1,1,5,5,29,21,48,0,1
0,0,0,28,10,21,1,75,25,89,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,5,25,0,6,6,5,5,25,21,67,0,1
0,0,1,26,8,30,1,76,28,76,0,0,8,8,8,0,0,8,10,0,8,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,27,1,5,5,5,5,20,27,56,0,1
0,0,1,22,10,25,1,80,26,77,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,25,1,5,5,3,4,6,31,52,0,1
0,0,1,29,10,22,1,74,26,74,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,5,26,1,5,5,6,5,46,28,47,0,1
0,0,0,23,8,30,1,78,21,77,0,0,6,6,6,0,0,6,8,0,10,0,5,7,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,0,5,25,0,13,13,5,5,26,31,66,0,1
0,0,1,27,7,25,1,75,30,79,0,0,7,7,7,0,0,7,10,0,9,0,7,9,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,5,25,1,9,9,5,5,30,32,58,0,1
