Counter(/amcl/parameter_descriptions),Counter(/amcl/parameter_updates),Counter(/amcl_pose),Counter(/battery_state),Counter(/cmd_vel),Counter(/cmd_vel_rc100),Counter(/diagnostics),Counter(/imu),Counter(/joint_states),Counter(/magnetic_field),Counter(/map),Counter(/map_metadata),Counter(/move_base/DWAPlannerROS/cost_cloud),Counter(/move_base/DWAPlannerROS/global_plan),Counter(/move_base/DWAPlannerROS/local_plan),Counter(/move_base/DWAPlannerROS/parameter_descriptions),Counter(/move_base/DWAPlannerROS/parameter_updates),Counter(/move_base/DWAPlannerROS/trajectory_cloud),Counter(/move_base/NavfnROS/plan),Counter(/move_base/current_goal),Counter(/move_base/feedback),Counter(/move_base/global_costmap/costmap),Counter(/move_base/global_costmap/costmap_updates),Counter(/move_base/global_costmap/footprint),Counter(/move_base/global_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/global_costmap/inflation_layer/parameter_updates),Counter(/move_base/global_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/global_costmap/obstacle_layer/parameter_updates),Counter(/move_base/global_costmap/parameter_descriptions),Counter(/move_base/global_costmap/parameter_updates),Counter(/move_base/global_costmap/static_layer/parameter_descriptions),Counter(/move_base/global_costmap/static_layer/parameter_updates),Counter(/move_base/goal),Counter(/move_base/local_costmap/costmap),Counter(/move_base/local_costmap/costmap_updates),Counter(/move_base/local_costmap/footprint),Counter(/move_base/local_costmap/inflation_layer/parameter_descriptions),Counter(/move_base/local_costmap/inflation_layer/parameter_updates),Counter(/move_base/local_costmap/obstacle_layer/parameter_descriptions),Counter(/move_base/local_costmap/obstacle_layer/parameter_updates),Counter(/move_base/local_costmap/parameter_descriptions),Counter(/move_base/local_costmap/parameter_updates),Counter(/move_base/parameter_descriptions),Counter(/move_base/parameter_updates),Counter(/move_base/result),Counter(/move_base/status),Counter(/odom),Counter(/particlecloud),Counter(/rosout),Counter(/rosout_agg),Counter(/rpms),Counter(/scan),Counter(/sensor_state),Counter(/statistics),Counter(/tf),Counter(/tf_static),Counter(/version_info)
1,1,1,27,0,0,1,41,31,71,1,1,0,0,0,1,1,0,0,0,0,1,10,14,1,1,1,1,1,1,1,1,0,1,10,12,1,1,1,1,1,1,1,1,0,8,4,1,45,12,0,7,13,12,93,1,2
0,0,0,25,0,24,1,79,25,77,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,5,26,0,2,2,4,4,23,19,55,0,1
0,0,0,26,0,25,1,76,26,82,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,5,26,0,0,0,5,5,28,19,51,0,1
0,0,0,26,0,22,1,77,28,73,0,0,0,0,0,0,0,0,0,1,4,0,7,5,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,0,0,0,6,26,0,5,5,5,5,26,19,60,0,1
0,0,0,22,2,26,1,74,26,74,0,0,2,2,2,0,0,2,4,0,9,0,7,3,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,5,23,0,10,10,4,4,22,21,57,0,1
0,0,0,29,10,29,1,81,27,77,0,0,10,10,10,0,0,10,10,0,11,0,6,10,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,5,28,0,6,5,5,5,31,26,51,0,1
0,0,1,24,10,26,1,76,25,87,0,0,10,10,10,0,0,10,10,0,9,0,6,10,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,5,24,1,4,5,5,5,13,32,61,0,1
0,0,1,27,10,25,1,78,26,67,0,0,10,10,10,0,0,10,10,0,11,0,7,10,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,5,25,1,6,6,5,5,38,30,57,0,1
0,0,1,26,10,24,1,75,26,78,0,0,10,10,10,0,0,10,10,0,9,0,7,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,5,27,1,4,4,5,5,26,25,55,0,1
0,0,1,22,10,26,1,75,25,81,0,0,10,10,10,0,0,10,10,0,11,0,7,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,24,30,57,0,1
0,0,2,27,10,20,1,77,26,82,0,0,10,10,10,0,0,10,10,0,10,0,6,10,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,5,24,2,6,6,5,5,27,29,56,0,1
0,0,2,28,10,32,1,80,21,76,0,0,10,10,10,0,0,10,10,0,9,0,8,10,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,5,27,2,4,5,5,5,10,30,57,0,1
0,0,2,21,10,22,1,77,30,75,0,0,10,10,10,0,0,10,10,0,10,0,8,10,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,5,25,2,6,5,5,5,38,28,55,0,1
0,0,1,23,10,24,1,78,26,77,0,0,10,10,10,0,0,10,10,0,11,0,5,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,28,29,56,0,1
0,0,1,33,10,25,1,71,23,73,0,0,10,10,10,0,0,10,9,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,5,5,20,31,59,0,1
0,0,1,25,10,32,1,79,27,80,0,0,10,10,10,0,0,10,11,0,9,0,5,10,0,0,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,0,0,0,5,26,1,5,5,1,5,32,31,52,0,1
0,0,1,11,9,26,1,79,27,77,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,1,5,9,0,0,0,0,0,0,0,0,0,5,24,1,10,10,9,4,12,27,57,0,1
0,0,0,35,10,26,1,74,24,80,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,5,28,0,5,5,5,6,40,28,56,0,1
0,0,1,29,9,19,1,81,27,75,0,0,7,7,7,0,0,7,8,0,10,0,6,8,0,0,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,0,0,5,24,1,13,13,5,5,25,30,59,0,1
0,0,1,22,8,28,1,75,18,78,0,0,7,7,7,0,0,7,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,1,4,9,0,0,0,0,0,0,0,0,0,5,24,1,10,10,5,5,23,30,50,0,1
0,0,0,29,9,16,1,70,31,72,0,0,8,8,8,0,0,8,10,0,11,0,6,9,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,5,25,0,8,8,3,4,24,28,56,0,0
0,0,1,25,9,39,1,84,28,75,0,0,8,8,8,0,0,8,10,0,10,0,7,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,5,27,1,9,9,7,6,26,31,58,0,2
0,0,1,24,9,26,1,77,23,83,0,0,8,8,8,0,0,8,8,0,9,0,6,9,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,5,27,1,8,8,5,5,30,28,55,0,1
0,0,1,30,10,26,1,77,24,70,0,0,10,10,10,0,0,10,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,5,26,1,7,7,5,5,22,31,62,0,1
0,0,1,24,10,23,1,78,23,79,0,0,10,10,10,0,0,10,10,0,10,0,7,9,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,0,5,25,1,5,5,5,5,29,26,56,0,1
0,0,1,22,9,28,1,75,28,73,0,0,8,8,8,0,0,8,10,0,10,0,6,9,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,5,25,1,9,9,4,5,26,25,53,0,0
0,0,0,26,10,20,1,76,26,88,0,0,10,10,10,0,0,10,10,0,10,0,7,10,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,5,27,0,5,6,6,5,20,28,46,0,1
