Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint2/parameter_updates),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressed/parameter_updates),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera/rgb_image/theora/parameter_updates),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_descriptions),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/ompl/parameter_descriptions),Counter(/move_group/ompl/parameter_updates),Counter(/move_group/plan_execution/parameter_descriptions),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_descriptions),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/move_group/trajectory_execution/parameter_updates),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf),Counter(/tf_static)
0,0,0,5,1,1,1,1,19,0,0,0,0,3,13,1,1,1,1,1,5,1,1,1,1,502,0,0,0,2,27,1,0,0,2,1,1,1,1,1,1,0,1,1,2,1,1,4,5,40,12,3,38,1
0,0,0,3,0,0,0,0,12,0,2,0,0,3,12,1,1,0,0,0,2,0,0,1,0,489,1,1,0,3,24,1,2,1,2,0,0,0,0,0,0,1,0,0,4,0,0,2,2,11,11,14,24,0
0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,1,0,0,0,1,0,0,1,0,477,0,0,0,3,25,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,12,25,0
0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,1,1,0,0,0,2,0,0,1,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,4,25,0
0,0,0,2,0,0,0,0,11,0,15,0,0,2,11,2,2,0,0,0,1,0,0,1,0,498,0,0,0,3,23,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,6,25,0
0,0,0,3,0,0,0,0,12,0,15,0,0,3,12,2,1,0,0,0,2,0,0,1,0,488,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,10,24,0
0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,1,1,0,0,0,2,0,0,1,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,12,25,0
0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,1,0,0,1,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,3,25,0
0,0,0,2,0,0,0,0,12,1,14,1,1,5,12,2,2,0,0,0,3,0,0,2,0,495,2,1,1,5,25,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,11,11,12,25,0
0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,2,0,0,2,0,494,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,8,25,0
0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,2,0,0,2,0,483,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,11,25,0
0,0,0,3,0,0,0,0,12,0,14,0,0,3,12,2,1,0,0,0,1,0,0,1,0,484,0,0,0,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,3,24,0
0,0,0,2,0,0,0,0,13,0,15,0,0,2,13,1,1,0,0,0,2,0,0,1,0,474,0,0,0,3,26,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,1,1,6,26,0
0,0,0,3,0,0,0,0,12,0,15,0,0,3,12,3,1,0,0,0,2,0,0,3,0,444,0,0,0,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,4,26,0
0,0,0,2,0,0,0,0,13,0,14,0,0,2,13,1,1,0,0,0,2,0,0,1,0,503,0,0,0,3,26,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,18,24,0
0,0,0,3,0,0,0,0,12,0,15,0,0,3,12,1,0,0,0,0,1,0,0,1,0,482,0,0,0,2,24,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,4,21,0
0,1,0,3,0,0,0,0,13,1,15,0,1,4,13,2,3,0,0,0,2,0,0,1,0,481,2,1,1,5,25,1,2,1,2,0,0,0,0,0,0,1,0,0,5,0,0,3,3,15,15,21,26,0
15,0,0,3,0,0,0,0,13,0,0,0,0,3,13,1,1,0,0,0,2,0,0,1,0,500,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,2,24,0
6,0,1,3,0,0,0,0,12,0,0,0,0,2,12,2,2,0,0,0,2,0,0,2,0,501,1,0,1,4,25,0,1,1,2,0,0,0,0,0,0,0,0,0,4,0,0,3,3,11,11,13,25,0
0,0,0,3,0,0,0,0,13,0,2,1,1,5,13,3,3,0,0,0,2,0,0,3,0,487,3,2,1,5,25,2,3,1,3,0,0,0,0,0,0,2,0,0,5,0,0,2,2,20,20,5,25,0
0,0,0,2,0,0,0,0,12,0,14,1,0,3,12,2,2,0,0,0,3,0,0,2,0,493,0,0,0,3,24,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,4,7,25,0
0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,2,0,0,2,0,501,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,3,25,0
0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,3,2,0,0,0,3,0,0,2,0,494,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,4,16,25,0
0,0,0,3,0,0,0,0,13,0,15,0,0,3,13,2,2,0,0,0,1,0,0,2,0,482,0,0,0,2,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,9,25,0
0,0,0,2,0,0,0,0,12,0,15,0,0,2,12,2,2,0,0,0,3,0,0,2,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,6,25,0
0,0,0,2,0,0,0,0,13,0,14,0,0,2,13,3,3,0,0,0,2,0,0,1,0,456,0,0,0,2,24,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,3,3,5,23,0
0,0,0,2,0,0,0,0,12,2,14,1,2,7,12,1,2,0,0,0,2,0,0,1,0,459,4,2,2,6,25,2,3,1,3,0,0,0,0,0,0,2,0,0,5,0,0,2,3,25,25,17,24,0
0,0,0,3,0,0,0,0,13,0,9,1,1,5,13,1,2,0,0,0,3,0,0,2,0,493,1,0,1,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,5,5,8,25,0
0,0,0,2,0,0,0,0,12,0,0,0,0,2,12,2,2,0,0,0,2,0,0,2,0,484,0,0,0,3,25,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,2,2,7,25,0
4,1,0,4,0,0,0,0,13,0,0,0,0,3,13,2,2,0,0,0,1,0,0,2,0,498,1,1,0,3,25,1,2,1,2,0,0,0,0,0,0,1,0,0,4,0,0,2,2,9,9,4,25,0
10,0,1,3,0,0,0,0,12,0,0,0,0,2,12,2,2,0,0,0,2,0,0,2,0,480,1,0,1,4,25,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,9,9,13,25,0
0,0,0,3,0,0,0,0,13,0,0,0,0,3,13,2,1,0,0,0,2,0,0,2,0,495,2,1,1,4,25,1,4,1,2,0,0,0,0,0,0,1,0,0,4,0,0,2,2,17,15,13,25,0
