Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/gains/panda_finger_joint1/parameter_descriptions),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/status),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf)
0,0,0,2,1,12,0,0,0,0,4,11,2,2,1,1,1,2,1,2,1,498,0,0,0,3,25,0,0,0,2,1,1,1,0,3,3,3,3,3,2,25
0,0,0,3,0,13,0,0,0,0,2,13,2,2,0,0,0,2,0,2,0,485,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,7,25
0,0,0,2,0,12,0,0,0,0,3,12,2,2,0,0,0,2,0,1,0,492,0,0,0,2,25,0,1,1,2,0,0,0,0,3,3,3,8,8,19,25
0,0,0,3,0,13,0,1,1,0,3,13,1,2,0,0,0,2,0,0,0,502,1,1,0,4,25,1,1,0,2,0,0,0,1,4,2,2,6,6,6,25
0,0,0,2,0,11,0,15,0,0,3,11,2,2,0,0,0,1,0,1,0,498,0,0,0,2,23,0,0,0,2,0,0,0,0,2,3,3,2,2,4,23
0,0,0,3,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,2,0,493,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,8,26
0,0,0,2,0,12,0,15,0,0,3,12,1,1,0,0,0,2,0,1,0,500,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,3,1,1,17,24
0,0,0,3,0,13,0,15,0,0,2,13,2,2,0,0,0,2,0,2,0,498,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,3,25
0,0,0,2,0,12,0,15,0,0,3,12,2,2,0,0,0,2,0,2,0,494,0,0,0,2,24,0,0,0,2,0,0,0,0,2,3,3,2,2,5,25
0,0,0,3,0,12,0,14,0,0,2,12,2,1,0,0,0,2,0,1,0,482,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,6,25
0,0,0,2,0,12,0,15,0,0,3,12,1,1,0,0,0,1,0,1,0,499,0,0,0,2,25,1,0,0,2,0,0,0,0,2,3,3,5,5,15,23
0,0,0,3,0,13,1,14,1,1,5,13,2,1,0,0,0,2,0,2,0,500,2,1,1,5,25,0,0,0,2,0,0,0,0,3,2,2,8,8,7,27
0,0,0,2,0,12,0,15,0,0,3,12,2,2,0,0,0,1,0,2,0,489,0,0,0,2,25,0,0,0,2,0,0,0,0,2,3,3,2,2,6,25
0,0,0,3,0,12,0,15,0,0,2,12,1,1,0,0,0,2,0,1,0,497,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,1,1,3,25
0,0,0,2,0,13,0,14,0,0,3,13,1,1,0,0,0,2,0,1,0,498,0,0,0,2,24,0,0,0,2,0,0,0,0,2,3,3,2,2,16,25
0,0,0,3,0,12,0,15,0,0,2,12,2,2,0,0,0,1,0,1,0,482,0,0,0,3,24,0,0,0,2,0,0,0,0,2,2,2,1,1,4,25
0,1,0,3,0,12,1,14,0,1,5,12,2,1,0,0,0,2,0,2,0,505,2,1,1,4,25,1,2,1,2,0,0,0,1,4,3,3,13,13,18,25
16,0,0,3,0,13,0,0,0,0,2,13,1,2,0,0,0,2,0,1,0,500,0,0,0,3,25,0,0,0,2,0,0,0,0,3,2,2,2,2,3,25
14,0,0,2,0,12,0,0,0,0,3,12,3,1,0,0,0,2,0,3,0,469,0,0,0,2,24,0,0,0,2,0,0,0,0,2,3,3,2,1,11,24
