Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/result),Counter(/move_group/status),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf)
0,0,0,2,13,0,0,0,0,2,13,1,1,1,1,2,1,1,495,0,0,0,3,25,0,1,1,1,0,4,2,2,8,8,2,25
0,0,0,2,12,0,12,1,0,3,12,2,2,0,0,2,1,0,464,1,1,0,3,25,1,1,0,3,1,4,3,3,7,7,11,25
0,0,0,3,13,0,16,0,0,3,13,2,2,0,0,2,2,0,501,0,0,0,3,25,0,0,0,2,0,2,2,2,2,2,18,25
0,0,0,2,12,0,14,0,0,2,12,2,2,0,0,1,2,0,478,0,0,0,2,24,0,0,0,2,0,3,3,3,2,2,4,24
0,0,0,3,13,0,16,0,0,3,13,1,1,0,0,1,0,0,500,0,0,0,3,26,0,0,0,2,0,2,2,2,1,1,4,26
0,0,0,2,12,0,15,0,0,2,12,1,1,0,0,2,2,0,448,0,0,0,2,25,0,0,0,2,0,3,3,3,2,2,6,23
0,0,0,3,13,0,14,0,0,3,13,2,1,0,0,2,2,0,498,0,0,0,2,25,0,0,0,2,0,2,2,2,1,1,21,25
0,0,0,2,12,1,15,1,1,5,12,2,3,0,0,2,2,0,488,2,1,1,5,24,1,0,0,2,0,3,3,3,12,12,8,24
0,0,0,3,13,0,15,0,0,3,13,1,1,0,0,2,1,0,501,0,0,0,3,25,0,0,0,2,0,2,2,2,1,1,5,25
0,0,0,2,12,0,14,0,0,2,11,2,2,0,0,2,2,0,472,0,0,0,2,22,0,0,0,2,0,3,3,3,2,2,3,22
0,0,0,3,13,0,16,0,0,3,13,2,2,0,0,2,2,0,487,0,0,0,3,26,0,0,0,2,0,2,2,2,3,3,16,26
0,0,0,2,12,0,15,0,0,2,12,2,1,0,0,1,2,0,495,0,0,0,2,25,0,0,0,2,0,3,3,3,2,2,3,25
0,1,0,4,13,1,13,0,1,5,13,1,1,0,0,2,1,0,496,2,1,1,5,25,1,2,1,2,1,4,2,2,14,14,19,25
15,0,0,2,12,0,0,0,0,2,12,2,2,0,0,1,2,0,497,0,0,0,2,25,0,0,0,2,0,3,3,3,2,2,2,25
6,0,1,4,13,0,0,0,0,3,13,2,1,0,0,2,2,0,501,1,0,1,4,25,0,1,1,2,0,3,2,2,11,11,19,25
0,0,0,2,12,1,10,2,1,6,12,2,2,0,0,3,2,0,485,3,2,1,5,24,2,3,1,2,2,6,3,3,21,21,8,24
0,0,0,3,13,0,15,0,0,3,13,2,3,0,0,2,2,0,488,0,0,0,2,25,0,0,0,2,0,2,2,2,3,2,6,25
0,0,0,2,12,0,15,0,0,2,12,2,2,0,0,3,2,0,497,0,0,0,3,25,0,0,0,2,0,3,3,3,2,2,2,25
0,0,0,2,13,0,15,0,0,2,13,2,2,0,0,2,2,0,498,0,0,0,3,25,0,0,0,2,0,2,2,2,2,2,8,25
0,0,0,2,12,0,15,0,0,2,12,1,2,0,0,2,2,0,464,0,0,0,2,25,0,0,0,2,0,3,3,3,3,3,10,25
0,0,0,3,13,0,15,0,0,3,13,3,2,0,0,3,3,0,500,0,0,0,3,25,0,0,0,2,0,2,2,2,3,3,6,25
0,0,0,2,12,0,15,0,0,2,12,1,2,0,0,1,2,0,499,0,0,0,2,25,0,0,0,2,0,3,3,3,2,2,3,25
0,0,0,3,13,0,15,0,0,3,13,2,2,0,0,2,2,0,472,0,0,0,3,25,0,0,0,2,0,2,2,2,2,2,15,24
0,0,0,1,11,0,14,0,0,1,11,2,1,0,0,2,2,0,495,0,0,0,2,24,0,0,0,2,0,3,3,3,2,2,12,23
0,0,0,3,12,1,13,1,1,6,12,1,1,0,0,2,1,0,496,2,1,1,5,24,1,3,2,2,1,5,2,2,23,22,18,24
0,0,0,2,12,1,15,1,2,6,12,3,2,0,0,2,3,0,485,3,1,2,5,25,1,1,0,2,1,3,3,3,13,14,4,25
0,0,0,3,12,0,0,0,0,3,12,2,3,0,0,2,1,0,436,0,0,0,3,22,0,0,0,2,0,2,2,2,4,4,5,23
0,0,0,2,12,0,0,0,0,2,12,2,1,0,0,3,2,0,496,0,0,0,2,25,0,0,0,2,0,3,3,3,2,2,11,25
10,1,1,5,13,0,0,0,0,3,13,1,1,0,0,2,1,0,477,2,1,1,5,25,1,2,1,1,1,4,2,2,11,11,9,25
0,0,0,2,13,0,0,0,0,2,13,1,1,0,0,1,1,0,499,2,1,1,4,26,1,2,1,1,0,4,3,3,15,15,3,26
