Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/cancel),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/feedback),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/goal),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/result),Counter(/EffortJointInterface_trajectory_gripper/follow_joint_trajectory/status),Counter(/EffortJointInterface_trajectory_gripper/state),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/cancel),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/feedback),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/goal),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/result),Counter(/PositionJointInterface_trajectory_controller/follow_joint_trajectory/status),Counter(/PositionJointInterface_trajectory_controller/state),Counter(/camera/rgb_camera_info),Counter(/camera/rgb_image/compressed),Counter(/camera/rgb_image/compressed/parameter_descriptions),Counter(/camera/rgb_image/compressedDepth/parameter_updates),Counter(/camera/rgb_image/theora),Counter(/camera/rgb_image/theora/parameter_descriptions),Counter(/camera_ir/depth/camera_info),Counter(/camera_ir/parameter_updates),Counter(/clock),Counter(/execute_trajectory/feedback),Counter(/execute_trajectory/goal),Counter(/execute_trajectory/result),Counter(/execute_trajectory/status),Counter(/joint_states),Counter(/move_group/display_planned_path),Counter(/move_group/feedback),Counter(/move_group/goal),Counter(/move_group/monitored_planning_scene),Counter(/move_group/plan_execution/parameter_updates),Counter(/move_group/planning_scene_monitor/parameter_descriptions),Counter(/move_group/planning_scene_monitor/parameter_updates),Counter(/move_group/result),Counter(/move_group/sense_for_plan/parameter_updates),Counter(/move_group/status),Counter(/move_group/trajectory_execution/parameter_descriptions),Counter(/pickup/status),Counter(/place/status),Counter(/rosout),Counter(/rosout_agg),Counter(/statistics),Counter(/tf)
0,9,0,1,5,12,0,0,0,0,4,12,1,1,1,1,2,1,1,1,482,1,0,1,3,24,0,0,0,2,1,1,1,0,1,3,1,2,2,5,5,6,27
0,0,0,0,2,11,0,0,0,0,2,11,1,2,0,0,2,0,1,0,476,0,0,0,3,23,0,0,0,2,0,0,0,0,0,3,0,3,3,2,2,14,23
0,0,0,0,3,13,0,0,0,0,3,13,0,2,0,0,1,0,1,0,482,0,0,0,2,24,0,1,1,0,0,0,0,0,0,3,0,2,2,10,10,14,24
0,1,1,0,3,12,1,9,1,1,5,12,2,2,0,0,3,0,2,0,501,3,2,1,6,25,2,3,1,3,0,0,0,2,0,6,0,3,3,20,20,10,25
1,6,0,1,5,13,0,9,1,0,4,13,2,2,0,0,2,0,2,0,479,2,1,1,4,25,4,0,0,2,0,0,0,0,0,2,0,2,2,21,21,7,25
1,7,2,1,6,12,1,5,0,1,4,12,2,1,0,0,2,0,2,0,495,4,2,2,7,25,2,4,2,2,0,0,0,2,0,7,0,3,3,26,26,17,25
0,4,0,1,4,13,0,0,0,0,3,13,2,2,0,0,1,0,2,0,490,1,0,1,3,25,0,1,1,1,0,0,0,0,0,3,0,2,2,11,11,23,25
0,0,0,0,2,12,0,4,1,0,3,12,2,1,0,0,2,0,2,0,499,1,1,0,4,23,1,1,0,2,0,0,0,1,0,4,0,3,3,7,7,10,23
0,0,0,0,3,13,0,15,0,0,3,12,1,1,0,0,2,0,0,0,491,0,0,0,2,26,0,0,0,2,0,0,0,0,0,2,0,2,2,3,3,6,26
0,13,1,0,3,12,1,1,0,1,4,12,2,2,0,0,2,0,2,0,483,2,1,1,5,25,1,3,2,1,0,0,0,1,0,6,0,3,3,25,25,14,25
1,2,0,1,5,13,0,13,1,0,4,13,2,2,0,0,2,0,2,0,487,2,1,1,4,23,1,1,0,3,0,0,0,1,0,3,0,2,2,13,13,20,24
